id,date,activity,appCat.builtin,appCat.office,call,circumplex.arousal,circumplex.valence,mood,screen
AS14.01,2014-04-22,0.09192955182229205,2212.954,0.0,2.0,0.2,1.0,7.4,15490.269999265669
AS14.01,2014-04-23,0.04598568913376553,1130.8419999999999,0.0,1.0,0.2,1.0,7.6,14535.339999437334
AS14.01,2014-04-24,0.0509029881940343,1466.271,0.0,1.0,-0.4,1.0,7.6,22086.478000164043
AS14.01,2014-04-25,0.10906106363682745,817.613,0.0,2.0,-0.2,0.8,7.2,13973.941999673845
AS14.01,2014-04-26,0.21424877162423497,864.519,0.0,3.0,-0.2,1.0,7.6,15482.018999338148
AS14.01,2014-04-27,0.030478923798963695,1291.314,0.0,0.0,-0.125,1.0,7.5,5700.562000036243
AS14.01,2014-04-28,0.0196753225383989,1312.001,0.0,2.0,-0.8,0.8,7.6,10807.829999685284
AS14.01,2014-04-29,0.10275824852950448,5289.913,0.0,0.0,-0.25,1.0,7.0,7873.291999101639
AS14.01,2014-04-30,0.15105145904074724,844.963,0.0,1.0,-0.4,0.75,7.8,9175.6049990654
AS14.01,2014-05-01,0.03706526814765703,1876.1129999999998,28.098,7.0,-0.4,1.0,8.0,15516.951998472214
AS14.01,2014-05-02,0.07734101929677568,795.436,0.0,0.0,-0.2,1.0,7.6,15088.519000768661
AS14.01,2014-05-03,0.07174088489517204,753.2570000000001,0.0,0.0,-0.2,1.0,8.0,8186.036000728605
AS14.01,2014-05-04,0.13619180837703837,1758.438,0.0,0.0,-0.5,1.0,8.0,5889.194999456405
AS14.01,2014-05-05,0.007842595452107337,438.347,0.0,0.0,,,,1788.7339999675771
AS14.02,2014-02-17,,0.0,0.0,4.0,,,,0.0
AS14.02,2014-02-18,,0.0,0.0,3.0,,,,0.0
AS14.02,2014-02-19,,0.0,0.0,6.0,,,,0.0
AS14.02,2014-02-20,,0.0,0.0,2.0,,,,0.0
AS14.02,2014-02-21,,0.0,0.0,6.0,,,,0.0
AS14.02,2014-02-22,,0.0,0.0,4.0,,,,0.0
AS14.02,2014-02-23,,0.0,0.0,4.0,,,,0.0
AS14.02,2014-02-24,,0.0,0.0,7.0,,,,0.0
AS14.02,2014-02-25,,0.0,0.0,9.0,,,,0.0
AS14.02,2014-02-26,,0.0,0.0,3.0,,,,0.0
AS14.02,2014-02-27,,0.0,0.0,9.0,,,,0.0
AS14.02,2014-02-28,,0.0,0.0,9.0,,,,0.0
AS14.02,2014-03-01,,0.0,0.0,3.0,,,,0.0
AS14.02,2014-03-02,,0.0,0.0,1.0,,,,0.0
AS14.02,2014-03-03,,0.0,0.0,4.0,,,,0.0
AS14.02,2014-03-04,,0.0,0.0,9.0,,,,0.0
AS14.02,2014-03-05,,0.0,0.0,3.0,,,,0.0
AS14.02,2014-03-06,,0.0,0.0,12.0,,,,0.0
AS14.02,2014-03-07,,0.0,0.0,5.0,,,,0.0
AS14.02,2014-03-08,,0.0,0.0,11.0,,,,0.0
AS14.02,2014-03-09,,0.0,0.0,4.0,,,,0.0
AS14.02,2014-03-10,,0.0,0.0,11.0,,,,0.0
AS14.02,2014-03-11,,0.0,0.0,6.0,,,,0.0
AS14.02,2014-03-12,,0.0,0.0,7.0,,,,0.0
AS14.02,2014-03-13,,0.0,0.0,3.0,,,,0.0
AS14.02,2014-03-14,,157.953,0.0,6.0,,,,1605.1650004386909
AS14.02,2014-03-15,,2421.109,0.0,7.0,,,,5309.255001068115
AS14.02,2014-03-16,,2437.0460000000003,0.0,4.0,0.0,0.0,6.333333333333333,4902.626999616626
AS14.02,2014-03-17,0.1680684149503257,1229.347,0.0,4.0,0.5,0.5,6.75,10159.769001245493
AS14.02,2014-03-18,0.21948438425543756,2604.5209999999997,0.0,15.0,0.6,0.8,8.2,4512.4710013866425
AS14.02,2014-03-19,0.31563175685064315,1554.558,0.0,5.0,0.4,0.4,6.8,8182.757000207905
AS14.02,2014-03-20,0.23902496021034736,1777.977,0.0,10.0,-0.5,0.75,7.25,4360.33400130272
AS14.02,2014-03-21,0.28962792490010747,2230.303,0.0,10.0,-0.75,0.75,7.5,11155.850999116892
AS14.02,2014-03-22,0.44604368683290135,1930.2659999999998,0.0,25.0,-1.0,-0.5,6.5,7589.562002897266
AS14.02,2014-03-23,0.26969715703353236,894.506,0.0,8.0,-1.0,0.0,6.25,4528.527000665666
AS14.02,2014-03-24,0.15612466250149995,1073.496,0.0,5.0,0.2,-0.2,6.4,2766.6489994525905
AS14.02,2014-03-25,0.23051365485645373,2806.931,0.0,7.0,-1.25,0.75,7.75,4637.388000011446
AS14.02,2014-03-26,0.29395346240584214,1736.744,0.0,5.0,-1.2,0.4,7.2,6069.630000829696
AS14.02,2014-03-27,0.22884900892215096,2267.124,0.0,3.0,0.0,0.5,7.25,5746.980998754502
AS14.02,2014-03-28,0.26159832807813954,1053.115,0.0,8.0,-0.6,0.6,6.8,3969.580999135971
AS14.02,2014-03-29,0.432469355060395,17416.280000000002,0.0,4.0,-0.75,0.25,7.25,4403.242997646333
AS14.02,2014-03-30,0.24188730879396786,772.787,0.0,10.0,-1.0,0.75,7.0,3937.0419988632193
AS14.02,2014-03-31,0.15637292366427655,1186.299,0.0,14.0,-0.8,0.4,7.2,4774.1459991931915
AS14.02,2014-04-01,0.26196053218905446,2790.014,0.0,2.0,-0.2,0.8,7.4,3297.737997055054
AS14.02,2014-04-02,0.3191205617996335,1964.21,0.0,2.0,-0.6,-0.2,6.4,6883.828001737594
AS14.02,2014-04-03,0.32250583990998866,1269.299,0.0,2.0,-0.25,0.0,5.75,6814.30000090599
AS14.02,2014-04-04,0.22727035660896047,1121.689,0.0,5.0,-1.2,0.2,6.4,3653.370000839234
AS14.02,2014-04-05,0.32191972248052525,1957.087,0.0,9.0,0.0,0.6,7.4,13067.926001548763
AS14.02,2014-04-06,0.21520952016085249,576.385,0.0,6.0,-1.0,-1.25,4.5,3649.9679985046396
AS14.02,2014-04-07,0.13652373439609958,1482.948,0.0,2.0,0.0,0.6,6.8,6366.526998281479
AS14.02,2014-04-08,0.26195103762156396,1184.778,0.0,10.0,-0.25,0.5,6.25,4079.151999473574
AS14.02,2014-04-09,0.24720984804489024,1427.022,0.0,12.0,-0.5,0.25,7.25,5757.426000595091
AS14.02,2014-04-10,0.2607506038432931,1303.452,0.0,1.0,0.25,0.75,7.25,7844.238998651505
AS14.02,2014-04-11,0.4244814273084369,1548.192,0.0,7.0,-0.5,0.5,6.5,5810.030001163483
AS14.02,2014-04-12,0.3783017333120427,1826.668,0.0,6.0,-2.0,-1.0,6.0,3658.819001197815
AS14.02,2014-04-13,0.28982011828279997,510.913,0.0,1.0,-0.6,0.4,7.2,2174.8709976673135
AS14.02,2014-04-14,0.18707405017212794,809.972,0.0,8.0,0.75,1.0,8.0,2773.0430009365086
AS14.02,2014-04-15,0.1736288831786874,98.266,0.0,14.0,-0.5,0.5,7.25,701.2870004177095
AS14.02,2014-04-16,0.3532763532763534,125.13300000000001,0.0,16.0,-0.3333333333333333,0.3333333333333333,6.666666666666667,109.28399968147278
AS14.02,2014-04-17,0.4700854700854705,2.007,0.0,10.0,0.16666666666666666,-0.16666666666666666,6.5,41.23499965667722
AS14.02,2014-04-18,,0.0,0.0,3.0,0.0,0.0,6.5,0.0
