id,date,mood_target,mood_hist_mean,activity_hist_mean,appCat.builtin_hist_mean,appCat.office_hist_mean,call_hist_mean,circumplex.arousal_hist_mean,circumplex.valence_hist_mean,screen_hist_mean,mood_type
AS14.09,2014-04-04,7.25,7.229999999999999,0.0994880597166402,1237.432,1.628,3.0,-0.2,0.48,7630.067799806595,1
AS14.09,2014-04-10,6.0,6.840000000000001,0.0906448412698412,234.326,1.8224000000000005,0.6,-0.13,0.48,5267.649601125719,0
AS14.09,2014-04-27,6.25,7.076666666666666,0.0743461700336699,345.4456,0.0,4.4,-0.0166666666666666,0.7466666666666667,1872.525799942016,0
AS14.09,2014-04-11,6.8,6.540000000000001,0.0735912698412698,246.9936,1.6200000000000003,0.8,0.0199999999999999,0.3299999999999999,4606.348401260377,0
AS14.09,2014-04-30,7.0,6.970000000000001,0.091736149358937,15.751,0.0,0.0,-0.25,0.67,612.2200001716612,1
AS14.09,2014-04-29,6.75,7.06,0.0820268977574323,20.4294,0.0,1.0,-0.11,0.77,764.9874001026153,0
AS14.09,2014-03-26,7.75,6.840000000000001,0.0613349403056439,173.1002,5.953799999999999,0.8,0.3299999999999999,0.4433333333333332,5603.306400251388,1
AS14.09,2014-04-22,6.6,6.87,0.0790403641248437,48.71640000000001,15.276000000000002,1.0,-0.39,0.62,1548.2603999614716,0
AS14.09,2014-03-31,7.0,7.909999999999999,0.077485107415767,636.983,1.42,3.0,-0.31,0.91,7875.040199804307,1
AS14.09,2014-04-06,6.8,7.229999999999999,0.0987634220354808,901.795,1.0104,2.6,-0.11,0.54,7009.976400232315,0
AS14.09,2014-03-27,7.8,6.99,0.0574714485705864,292.3262,5.732,0.8,0.43,0.3933333333333333,6712.145000505448,1
AS14.09,2014-04-25,7.25,6.576666666666666,0.0405009469696969,343.4422,0.0,4.8,-0.2666666666666666,0.4966666666666667,1514.1487998008724,1
AS14.09,2014-04-16,5.5,6.32,0.1055654761904761,42.0686,1.0058,0.8,-0.2,0.24,2448.7143997669214,0
AS14.09,2014-03-28,8.25,7.15,0.0503186707928086,304.6306,3.0702,1.0,0.35,0.42,6604.781200170517,1
AS14.09,2014-04-26,8.0,6.776666666666666,0.0553541666666665,343.84440000000006,0.0,4.8,-0.2166666666666666,0.6466666666666667,1682.683599901199,1
AS14.09,2014-05-02,7.6,6.82,0.0947941918902882,0.0,0.0,0.0,-0.45,0.5700000000000001,0.0,1
AS14.09,2014-03-29,8.0,7.45,0.0596076919568298,346.774,4.2894,1.8,0.1499999999999999,0.5700000000000001,7266.222000598909,1
AS14.09,2014-05-01,7.5,6.92,0.0896998775433689,14.9464,0.0,0.0,-0.4,0.62,359.469000005722,1
AS14.09,2014-04-18,6.6,6.0600000000000005,0.0940276353763195,50.0104,1.0058,0.6,-0.3,0.06,1328.0324000358578,0
AS14.09,2014-04-28,6.6,7.006666666666666,0.0735616199844718,182.5758,0.0,1.4,-0.1766666666666666,0.7166666666666666,1350.0462000370026,0
AS14.09,2014-04-05,7.5,7.13,0.0923050887021474,1015.8598000000002,1.628,3.2,-0.15,0.43,7278.73879995346,1
AS14.09,2014-04-17,7.0,6.0600000000000005,0.0858252164502163,43.6912,1.0058,0.8,-0.3,0.07,1454.0553999900817,1
AS14.09,2014-04-13,6.0,6.7,0.0669345238095237,158.5342,0.2064,1.2,0.2,0.45,3784.2110002994536,0
AS14.09,2014-04-15,6.0,6.32,0.0939285714285713,41.2134,1.0058,0.8,-0.05,0.24,2520.4524001598347,0
AS14.09,2014-04-02,6.2,7.720000000000001,0.0874442144007361,1052.282,2.0392,3.8,-0.37,0.76,9279.748600101471,0
AS14.09,2014-04-09,6.5,6.99,0.0990277777777777,198.5552,1.8224000000000005,0.6,-0.3299999999999999,0.58,5789.558600997926,0
AS14.09,2014-04-23,6.333333333333333,6.790000000000001,0.0698278441886396,205.267,15.276000000000002,3.8,-0.43,0.55,1628.4503997802735,0
AS14.09,2014-05-03,7.75,7.090000000000001,0.111052456347186,0.0,0.0,0.0,-0.25,0.68,0.0,1
AS14.12,2014-05-04,4.8,5.909999999999999,0.1025801018409279,2137.7268000000004,77.3536,1.6,-0.25,0.5733333333333334,9112.390000200268,0
AS14.12,2014-04-01,6.4,6.505,0.1018206925322741,2779.417,3.4378,3.6,0.18,0.6633333333333333,6686.221000146866,0
AS14.12,2014-04-05,6.2,6.140000000000001,0.1313040065443505,1351.0072,357.571,3.4,0.31,0.43,8684.686000061034,0
AS14.12,2014-04-18,6.6,6.56,0.1264037752959766,1839.8864,68.775,3.0,-0.04,0.72,7689.969400691986,0
AS14.12,2014-04-28,6.6,6.255,0.1720903972555502,1645.0297999999998,44.6836,3.4,-0.045,0.705,5158.985599374771,0
AS14.12,2014-04-06,6.25,6.1,0.1468543712171008,1482.8362000000002,354.13320000000004,3.8,0.2299999999999999,0.43,8888.904200220106,0
AS14.12,2014-04-12,6.8,6.18,0.1228316573784577,9405.0504,56.773,0.8,-0.0199999999999999,0.47,7541.97459936142,0
AS14.12,2014-04-02,6.0,6.385,0.1003210161885475,2899.1514,3.4378,3.6,0.36,0.6133333333333333,7251.600599908828,0
AS14.12,2014-04-03,5.4,6.234999999999999,0.107295322221896,2096.4664,82.93820000000001,2.4,0.2799999999999999,0.53,7799.086799955367,0
